supplier_id,supplier_name,category,M1_Status,old_shortlist_status,new_Strategic_Pool,movement_type,movement_reason
S25,Supplier_S25,General_Comp,PASS,Shortlist with warning,Conditional,Downgraded,cost_quartile=Q4_Worst
S45,Supplier_S45,General_Raw,PASS,Shortlist with warning,Restricted,Downgraded,ESG tier=ESG Monitor; risk_level=High; capability gap; 2 high diagnostic flags
S46,Supplier_S46,General_Raw,PASS,Shortlist with warning,Restricted,Downgraded,risk_level=High; capability gap; 2 high diagnostic flags
S09,Supplier_S09,Key_Component,PASS,Shortlist with warning,Conditional,Downgraded,cost_quartile=Q4_Worst
S26,Supplier_S26,General_Comp,LIMITED_QUALITY_TECH,Restricted - diagnostic only,Restricted,Restricted by M1,M1_Status=LIMITED_QUALITY_TECH
S31,Supplier_S31,General_Comp,LIMITED_QUALITY_TECH,Restricted - diagnostic only,Restricted,Restricted by M1,M1_Status=LIMITED_QUALITY_TECH
S41,Supplier_S41,General_Raw,LIMITED_QUALITY_TECH,Restricted - diagnostic only,Restricted,Restricted by M1,M1_Status=LIMITED_QUALITY_TECH
S50,Supplier_S50,General_Raw,LIMITED_ETHICS,Restricted - diagnostic only,Restricted,Restricted by M1,M1_Status=LIMITED_ETHICS
S10,Supplier_S10,Key_Component,LIMITED_QUALITY_TECH,Restricted - diagnostic only,Restricted,Restricted by M1,M1_Status=LIMITED_QUALITY_TECH
S16,Supplier_S16,Critical_Raw,PASS,Not shortlisted,Restricted,Stable non-recommended,Not recommended in either framework
S23,Supplier_S23,General_Comp,PASS,Not shortlisted,Conditional,Stable non-recommended,Not recommended in either framework
S24,Supplier_S24,General_Comp,PASS,Not shortlisted,Conditional,Stable non-recommended,Not recommended in either framework
S28,Supplier_S28,General_Comp,PASS,Not shortlisted,Restricted,Stable non-recommended,Not recommended in either framework
S34,Supplier_S34,General_Comp,PASS,Not shortlisted,Conditional,Stable non-recommended,Not recommended in either framework
S38,Supplier_S38,General_Raw,PASS,Not shortlisted,Conditional,Stable non-recommended,Not recommended in either framework
S40,Supplier_S40,General_Raw,PASS,Conditional shortlist,Restricted,Stable non-recommended,Not recommended in either framework
S48,Supplier_S48,General_Raw,PASS,Not shortlisted,Conditional,Stable non-recommended,Not recommended in either framework
S49,Supplier_S49,General_Raw,PASS,Not shortlisted,Restricted,Stable non-recommended,Not recommended in either framework
S02,Supplier_S02,Key_Component,PASS,Not shortlisted,Conditional,Stable non-recommended,Not recommended in either framework
S13,Supplier_S13,Critical_Raw,PASS,Shortlist with warning,Core,Stable recommended,Consistent recommendation across shortlist and Strategic Pool
S14,Supplier_S14,Critical_Raw,PASS,Shortlist with warning,Core,Stable recommended,Consistent recommendation across shortlist and Strategic Pool
S15,Supplier_S15,Critical_Raw,PASS,Shortlist with warning,Core,Stable recommended,Consistent recommendation across shortlist and Strategic Pool
S32,Supplier_S32,General_Comp,PASS,Shortlist with warning,Core,Stable recommended,Consistent recommendation across shortlist and Strategic Pool
S33,Supplier_S33,General_Comp,PASS,Shortlist with warning,Core,Stable recommended,Consistent recommendation across shortlist and Strategic Pool
S37,Supplier_S37,General_Comp,PASS,Shortlist with warning,Core,Stable recommended,Consistent recommendation across shortlist and Strategic Pool
S04,Supplier_S04,Key_Component,PASS,Preferred shortlist,Core,Stable recommended,Consistent recommendation across shortlist and Strategic Pool
S05,Supplier_S05,Key_Component,PASS,Preferred shortlist,Core,Stable recommended,Consistent recommendation across shortlist and Strategic Pool
S11,Supplier_S11,Key_Component,PASS,Preferred shortlist,Preferred,Stable recommended,Consistent recommendation across shortlist and Strategic Pool
S27,Supplier_S27,General_Comp,PASS,Conditional shortlist,Core,Upgraded,cost_quartile=Q2; no high diagnostic flags
S29,Supplier_S29,General_Comp,PASS,Not shortlisted,Core,Upgraded,Strategic Pool criteria match
S30,Supplier_S30,General_Comp,PASS,Not shortlisted,Core,Upgraded,cost_quartile=Q1_Best; no high diagnostic flags
S36,Supplier_S36,General_Comp,PASS,Not shortlisted,Core,Upgraded,cost_quartile=Q2
S39,Supplier_S39,General_Raw,PASS,Not shortlisted,Core,Upgraded,Strategic Pool criteria match
S44,Supplier_S44,General_Raw,PASS,Not shortlisted,Core,Upgraded,cost_quartile=Q1_Best; no high diagnostic flags
S03,Supplier_S03,Key_Component,PASS,Not shortlisted,Preferred,Upgraded,cost_quartile=Q2; ESG tier=ESG Compliant; no high diagnostic flags
S07,Supplier_S07,Key_Component,PASS,Not shortlisted,Preferred,Upgraded,cost_quartile=Q2; ESG tier=ESG Compliant; no high diagnostic flags
S08,Supplier_S08,Key_Component,PASS,Not shortlisted,Preferred,Upgraded,cost_quartile=Q1_Best; ESG tier=ESG Leader; no high diagnostic flags
