supplier_id,supplier_name,category,M1_Status,cost_score,esg_score,cost_esg_score,shortlist_status,risk_level,tqrdc_diagnostic_summary,M3_eligible_flag,recommended_next_step
S14,Supplier_S14,Critical_Raw,PASS,0.7,0.35,0.5425,Shortlist with warning,High,T=Standard capability; Q=No quality concern; R=High; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S13,Supplier_S13,Critical_Raw,PASS,0.5125,0.3625,0.445,Shortlist with warning,Medium,T=Standard capability; Q=No quality concern; R=Medium; D=Low; C=No cost concern.,YES,Use as candidate input for M3 after demand/capacity parameters are confirmed.
S15,Supplier_S15,Critical_Raw,PASS,0.2125,0.6625,0.415,Shortlist with warning,High,T=Standard capability; Q=No quality concern; R=High; D=Medium; C=Adjusted cost outlier / Cost pressure.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S16,Supplier_S16,Critical_Raw,PASS,0.325,0.3875,0.3531,Not shortlisted,High,T=Standard capability; Q=No quality concern; R=High; D=High; C=Adjusted cost outlier / Cost pressure.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S32,Supplier_S32,General_Comp,PASS,0.8,0.5625,0.6931,Shortlist with warning,High,T=Standard capability; Q=No quality concern; R=High; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S37,Supplier_S37,General_Comp,PASS,0.6875,0.525,0.6144,Shortlist with warning,High,T=Standard capability; Q=No quality concern; R=High; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S25,Supplier_S25,General_Comp,PASS,0.3375,0.9375,0.6075,Shortlist with warning,Low,T=Strong capability; Q=No quality concern; R=Low; D=Low; C=Adjusted cost outlier / Cost pressure.,YES,Use as candidate input for M3 after demand/capacity parameters are confirmed.
S27,Supplier_S27,General_Comp,PASS,0.625,0.4375,0.5406,Conditional shortlist,Medium,T=Standard capability; Q=No quality concern; R=Medium; D=Low; C=No cost concern.,CONDITIONAL_REVIEW,Manager review required before M3 input; resolve diagnostic warnings first.
S33,Supplier_S33,General_Comp,PASS,0.3375,0.7875,0.54,Shortlist with warning,Low,T=Standard capability; Q=No quality concern; R=Low; D=Low; C=No cost concern.,YES,Use as candidate input for M3 after demand/capacity parameters are confirmed.
S31,Supplier_S31,General_Comp,LIMITED_QUALITY_TECH,0.4348,0.5625,0.4923,Restricted - diagnostic only,High,T=Capability gap; Q=No quality concern; R=High; D=Low; C=No cost concern.,NO,Do not use for normal M3 allocation until M1 limitation is remediated.
S34,Supplier_S34,General_Comp,PASS,0.275,0.7375,0.4831,Not shortlisted,Medium,T=Standard capability; Q=No quality concern; R=Medium; D=Low; C=Adjusted cost outlier / Cost pressure.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S36,Supplier_S36,General_Comp,PASS,0.6625,0.2625,0.4825,Not shortlisted,High,T=Standard capability; Q=No quality concern; R=High; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S30,Supplier_S30,General_Comp,PASS,0.3875,0.525,0.4494,Not shortlisted,Medium,T=Standard capability; Q=No quality concern; R=Medium; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S26,Supplier_S26,General_Comp,LIMITED_QUALITY_TECH,0.5761,0.2625,0.435,Restricted - diagnostic only,High,T=Standard capability; Q=Quality concern flagged in M1; R=High; D=Low; C=No cost concern.,NO,Do not use for normal M3 allocation until M1 limitation is remediated.
S28,Supplier_S28,General_Comp,PASS,0.55,0.2625,0.4206,Not shortlisted,High,T=Capability gap; Q=No quality concern; R=High; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S29,Supplier_S29,General_Comp,PASS,0.4,0.35,0.3775,Not shortlisted,High,T=Standard capability; Q=No quality concern; R=High; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S24,Supplier_S24,General_Comp,PASS,0.25,0.45,0.34,Not shortlisted,Medium,T=Strong capability; Q=No quality concern; R=Medium; D=Low; C=Adjusted cost outlier / Cost pressure.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S23,Supplier_S23,General_Comp,PASS,0.2125,0.3625,0.28,Not shortlisted,Medium,T=Strong capability; Q=No quality concern; R=Medium; D=Low; C=Adjusted cost outlier / Cost pressure.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S45,Supplier_S45,General_Raw,PASS,0.6875,0.525,0.6144,Shortlist with warning,High,T=Capability gap; Q=No quality concern; R=High; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S46,Supplier_S46,General_Raw,PASS,0.65,0.5625,0.6106,Shortlist with warning,High,T=Capability gap; Q=No quality concern; R=High; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S41,Supplier_S41,General_Raw,LIMITED_QUALITY_TECH,0.6739,0.4375,0.5675,Restricted - diagnostic only,High,T=Standard capability; Q=Quality concern flagged in M1; R=High; D=Low; C=No cost concern.,NO,Do not use for normal M3 allocation until M1 limitation is remediated.
S40,Supplier_S40,General_Raw,PASS,0.7,0.2625,0.5031,Conditional shortlist,High,T=Capability gap; Q=No quality concern; R=High; D=Low; C=No cost concern.,CONDITIONAL_REVIEW,Manager review required before M3 input; resolve diagnostic warnings first.
S48,Supplier_S48,General_Raw,PASS,0.275,0.75,0.4888,Not shortlisted,Low,T=Standard capability; Q=No quality concern; R=Low; D=Low; C=Adjusted cost outlier / Cost pressure.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S44,Supplier_S44,General_Raw,PASS,0.425,0.525,0.47,Not shortlisted,Medium,T=Standard capability; Q=No quality concern; R=Medium; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S39,Supplier_S39,General_Raw,PASS,0.4,0.35,0.3775,Not shortlisted,High,T=Standard capability; Q=No quality concern; R=High; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S50,Supplier_S50,General_Raw,LIMITED_ETHICS,0.2589,0.3375,0.2943,Restricted - diagnostic only,High,T=Standard capability; Q=No quality concern; R=High; D=Medium; C=No cost concern.,NO,Do not use for normal M3 allocation until M1 limitation is remediated.
S38,Supplier_S38,General_Raw,PASS,0.2125,0.3625,0.28,Not shortlisted,Medium,T=Standard capability; Q=No quality concern; R=Medium; D=Low; C=Adjusted cost outlier / Cost pressure.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S49,Supplier_S49,General_Raw,PASS,0.1375,0.425,0.2669,Not shortlisted,High,T=Capability gap; Q=No quality concern; R=High; D=Medium; C=Adjusted cost outlier / Cost pressure.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S11,Supplier_S11,Key_Component,PASS,0.6125,0.75,0.6744,Preferred shortlist,Medium,T=Strong capability; Q=No quality concern; R=Medium; D=Medium; C=No cost concern.,YES,Use as candidate input for M3 after demand/capacity parameters are confirmed.
S05,Supplier_S05,Key_Component,PASS,0.45,0.8875,0.6469,Preferred shortlist,Low,T=Strong capability; Q=No quality concern; R=Low; D=Low; C=No cost concern.,YES,Use as candidate input for M3 after demand/capacity parameters are confirmed.
S09,Supplier_S09,Key_Component,PASS,0.4,0.9375,0.6419,Shortlist with warning,Low,T=Strong capability; Q=No quality concern; R=Low; D=Low; C=Adjusted cost outlier / Cost pressure.,YES,Use as candidate input for M3 after demand/capacity parameters are confirmed.
S04,Supplier_S04,Key_Component,PASS,0.6625,0.575,0.6231,Preferred shortlist,Medium,T=Strong capability; Q=No quality concern; R=Medium; D=Low; C=Adjusted cost outlier / Cost pressure.,YES,Use as candidate input for M3 after demand/capacity parameters are confirmed.
S07,Supplier_S07,Key_Component,PASS,0.6625,0.575,0.6231,Not shortlisted,Medium,T=Strong capability; Q=No quality concern; R=Medium; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S03,Supplier_S03,Key_Component,PASS,0.5875,0.6625,0.6212,Not shortlisted,Medium,T=Strong capability; Q=No quality concern; R=Medium; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S02,Supplier_S02,Key_Component,PASS,0.3375,0.9375,0.6075,Not shortlisted,Low,T=Strong capability; Q=No quality concern; R=Low; D=Low; C=Adjusted cost outlier / Cost pressure.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S08,Supplier_S08,Key_Component,PASS,0.4625,0.75,0.5919,Not shortlisted,Medium,T=Strong capability; Q=No quality concern; R=Medium; D=Low; C=No cost concern.,NO,Do not prioritize for M3; keep as backup or monitoring supplier.
S10,Supplier_S10,Key_Component,LIMITED_QUALITY_TECH,0.3913,0.6625,0.5133,Restricted - diagnostic only,Medium,T=Standard capability; Q=Quality concern flagged in M1; R=Medium; D=Low; C=No cost concern.,NO,Do not use for normal M3 allocation until M1 limitation is remediated.
